段落ID,篇号,原译,校订译文,说明
A0843-B0087,843,Order of Battle 战斗组织,Order of Battle 战斗序列,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0843-B0105,843,White Scars 白色疤痕,White Scars 白疤,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0843-B0106,843,The Unforgiven 不可饶恕者,The Unforgiven 戴罪者,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0843-B0121,843,Order of Our Martyred Lady 我们的殉教女士修会,Order of Our Martyred Lady 殉教圣女修会,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0843-B0123,843,Adeptus Mechanicus 机械神教,Adeptus Mechanicus 机械修会,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0843-B0126,843,Basilikon Astra 星界君主,Basilikon Astra 星界君主舰队,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0843-B0128,843,House Terryn 特伦家族,House Terryn 泰林家族,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0843-B0130,843,Ordo Malleus 圣锤修会,Ordo Malleus 恶魔审判庭,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0843-B0142,843,The Scourged 鞭挞者,The Scourged 天灾,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0843-B0147,843,吞世者 - 来自背誓者、火焰骑士和屠夫部落等多个战帮的庞大部队,吞世者——由背誓者、火焰骑士、屠夫大军等众多战帮组成的庞大部队,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0843-B0149,843,Morbidax Traitor Guard 疾病叛徒卫队,Morbidax Traitor Guard 莫比达克斯叛军卫队,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0843-B0157,843,House Korvax 科尔瓦克斯家族,House Korvax 科瓦克斯家族,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0843-B0159,843,House Vextrix 维克斯特里克斯家族,House Vextrix 维特瑞克斯家族,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0843-B0163,843,Xenos 异型,Xenos 异形,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0843-B0166,843,来自乌斯维，萨姆-罕和伊姆-洛克方舟世界的灵族,来自乌斯维、塞姆罕及伊姆—洛克方舟世界的灵族,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0843-B0173,843,Orks 欧克,Orks 欧克蛮人,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0843-B0175,843,Grymzags Lootas 格里姆扎格拾荒者,Grymzags Lootas 格里姆扎格的蛮人拾荒者,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0843-B0179,843,斯克拉加·重踏的加冈特暴徒,斯克拉加·重踏的加冈特战帮,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0843-B0182,843,Necrons 死灵,Necrons 太空死灵,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0843-B0184,843,Tyranids 泰伦,Tyranids 泰伦虫族,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0843-B0188,843,Kronus Hegemony 克罗诺斯霸权,Kronus Hegemony 克洛诺斯霸权,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0844-B0002,844,普罗斯佩罗裂隙战争始于M42，在恶魔原体马格努斯开始声称普罗斯佩罗裂隙的世界后，为了在帝国空域内建立一个帝国。现在，帝国正在努力保卫裂隙，既要抵御千子，也要抵御忠于马格努斯和奸奇的混沌部队，他们试图帮助恶魔原体完成任务。,普罗斯佩罗裂隙战争始于第 42 个千年。恶魔原体马格努斯开始夺取裂隙周围的世界，企图在人类帝国境内建立自己的帝国。帝国奋力保卫这片区域，既要抵挡千子，也要对抗其他效忠马格努斯和奸奇、前来协助其扩张的混沌势力。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0844-B0005,844,Known Battles and Forces Involved 已知的战斗和涉及的部队,Known Battles and Forces Involved 已知战斗与参战部队,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0844-B0009,844,太空野狼 - 后来由第13大连援助的小部队,太空野狼——一支小规模部队，后获第十三大连支援,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0844-B0020,844,Relief of Harlecrypt Tertius 解放哈利克利特三号,Relief of Harlecrypt Tertius 哈利克利特三号解围战,Relief 在此为援救解围，不等同已占领世界的解放。
A0844-B0033,844,猩红玫瑰修会 - 九个分殿,神圣玫瑰修会——9 个分殿,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0844-B0036,844,瓦希坎突袭者 - 23个步兵兵团,瓦希坎突袭者——23 个步兵团,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0844-B0038,844,瓦斯塔特守卫 - 27个步兵兵团,瓦斯塔特守卫——27 个步兵团,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0844-B0040,844,泰克恩铁拳 - 46个装甲兵团,泰克恩铁拳——46 个装甲团,本篇 Tekarn 与第839篇 Takarn 拼写不同，现分别保留泰克恩／塔卡恩，未据 Iron Fists 同形直接认定为同一军团。
A0844-B0043,844,德索斯家族 - 三个长枪,德索斯家族——3 支骑士矛阵,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0844-B0045,844,邓斯坦家族 - 五个长枪,邓斯坦家族——5 支骑士矛阵,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0844-B0052,844,末日骑士 - 三个连队,末日骑士——3 支远征军,Crusades 为远征军编组，不是 Companies 连；保留三支的原文统计。
A0844-B0059,844,受祝女士修会 - 八个分殿,受祝殉教者修会——8 个分殿,Blessed Martyr 指受祝殉教者，原女士未体现 martyr。
A0844-B0062,844,钱西炮兵 - 35个火炮兵团,钱西炮兵——35 个炮兵团,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0844-B0064,844,钱西步枪兵 - 65个步兵兵团,钱西步枪兵——65 个步兵团,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0844-B0066,844,钱西轻步兵 - 25个步兵兵团,钱西轻步兵——25 个步兵连,原文是 25 Infantry Companies，应为二十五个连，非二十五个团；Lightfood 疑为 Lightfoot 的拼写差错，沿原译轻步兵并保留英语待核。
A0844-B0068,844,禁卫骠骑兵 - 18个装甲兵团,普雷托利亚骠骑兵——18 个装甲团,此处为帝国卫队部队，Praetorian 按普雷托利亚地域形容词处理，区别机械修会禁卫兵及帝皇禁军。
A0844-B0071,844,布拉米卡家族 - 两个长枪,布拉米卡家族——2 支骑士矛阵,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0844-B0073,844,霍克伍德家族 - 六个长枪,霍克伍德家族——6 支骑士矛阵,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0844-B0078,844,阿波凯斯传说宿主 - 四个束缚小队,阿波凯斯秘识军势——4 支束缚小队,Lorehost 依千子秘识语境暂作秘识军势，host 此处是部队，不是宿主；Thrallband 沿核心束缚小队。
A0844-B0083,844,梅迪卡家族 - 一个圣像破坏者家族,穆蒂卡家族——1 个圣像破坏者家族,Mutica 与原梅迪卡不合，按拼写暂修穆蒂卡；Iconoclast 为家族类型，未把一个家族再拆成多个家族。
A0844-B0086,844,变化之焰 - 九个闪烁军团,变化之焰——9 个闪耀军团,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0844-B0088,844,炼狱疯狂 - 九个闪烁军团,炼狱疯狂——9 个闪耀军团,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0844-B0092,844,13 号污水管道居民 - 变种人部落，未计,13 号污水管道居民——数量不详的变种人大群,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0844-B0099,844,鞭挞者 - 三个战帮,天灾——3 个战帮,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0844-B0104,844,古金家族 - 12个炼狱长枪,古金家族——12 支炼狱骑士矛阵,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0844-B0107,844,地狱炮轰 - 47个火炮兵团,地狱炮轰——47 个炮兵团,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0844-B0112,844,The Upsilon-Kapha Severance 尤普西隆-卡帕切断,The Upsilon-Kapha Severance 尤普西隆—卡帕隔断战,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0844-B0119,844,赵的真实信徒 - 1200个宏枝,"赵的真信徒——1,200 支宏枝","原文为 1,200 Macroclades，数量虽大仍原样保留，不凭编制印象删零；Zhao 是专名，真信徒不等于真实的信徒。"
A0844-B0121,844,齿轮变革见证者 - 1800个宏枝,"齿轮变革见证者——1,800 支宏枝",对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0844-B0130,844,变化之爪 - 九个闪烁军团,变化之爪——9 个闪耀军团,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0844-B0132,844,绝对二重 - 颠覆部门,绝对二重——颠覆破坏师,Subversive Division 位于军队名单，按战斗编制暂译颠覆破坏师；该特殊编组实际规模仍待核。
A0845-B0002,845,沃尔盖特救赎是一次灰骑士的战斗。它始于一个由国教管理的圣地世界沃尔盖特，在这个行星的地下墓穴中，随着食尸教派，纳垢恶魔占领了它。灰骑士带着新的沃蒂默型豪猪来到这里，清理这个行星。灰骑士使用这些载具在世界各地圣地蜿蜒的地下墓穴中发动了一系列毁灭性的快速袭击。轻武器小队由他们的豪猪提供了高度的机动性和保护，被安装在其上的灵能炮每一门都枪杀了成群的瘟疫携带者。战斗成功结束后，灰骑士装甲大师沃蒂默将他的新豪猪变体交付给灰骑士军械库。,沃尔盖特救援之战是灰骑士参与的一场战斗。国教管理的圣地世界沃尔盖特地下墓穴中出现食尸教派，随后纳垢恶魔席卷了整颗星球。灰骑士携新型沃蒂默型豪猪战车抵达，展开清剿。他们利用这些车辆，在各座圣地蜿蜒的地下墓穴中连续发动猛烈的快速突击。豪猪战车为轻装小队提供了高度机动性与防护，车载灵能炮则击倒成群的瘟疫使。战斗胜利后，灰骑士首席军械师沃蒂默将这一新式豪猪战车改型正式纳入战团军械库。,following the necrophage cults 的因果表达略省略，译为当地食尸教派活动之后恶魔侵袭，不额外补写底稿未载的召唤仪式。Master Armourer 依核心首席军械师，非装甲大师。
A0846-B0002,846,亚空间是一个与现实空间平行的精神维度。它有很多名字：亚空间、非物质界、至高天、以太、灵魂之海、异海，也被称为混沌领域。,亚空间是与现实空间平行的灵能维度。它有许多名称，包括亚空间、非物质界、至高天、以太、灵魂之海、异海，也被称为混沌领域。,psychic 指灵能性质，不是一般心理或精神状态。英文 Warp／Warpspace 都可译亚空间，英文各称保留在对照中。
A0846-B0007,846,亚空间是纯粹能量的镜像维度。作为我们自己的现实—物质世界的镜像而存在，它是混沌之神的领域。这些神居住在自己的领域，在一场被称为“伟大游戏”的斗争中不断地相互争斗。随着亚空间力量的涨落，这些领域的规模会扩大和缩小。,亚空间是由纯粹能量构成的镜像维度，与我们所处的物质宇宙彼此映照，也是混沌诸神的领地。诸神各据一方，在被称为“伟大游戏”的永恒争斗中彼此交战。随着亚空间力量消长，它们的领土也不断扩张或收缩。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0846-B0011,846,亚空间的存在是由物质世界中所有有情众生的情感和灵魂推动的。亚空间空间是没有形式的，时间和空间的法则不适用于那里，因为在亚空间中，规模和时间都是无限的，是不相关的。它的能量处于不断的混乱之中，受到无尽的干扰。,物质宇宙中一切有感知能力的生命，其情感与灵魂都滋养着亚空间的存在。亚空间没有固定形态，时空法则在那里并不适用；空间大小与时间长短既是无限的，也失去了通常的意义。其能量始终处于动荡之中，承受着无尽扰动。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0846-B0013,846,用于描述亚空间的常见类比是将亚空间比作一个巨大的能量海洋，它受到不断的运动、洋流、潜流等的影响。非物质空间和现实空间具有相互平行的维度关系。他们共享这种关系的事实允许具有亚空间能力的飞船进入亚空间，沿着亚空间航道航行一段时间，直到重新出现在距离其起点一段距离的真实空间中。亚空间跳跃常用的比喻是将亚空间比作快速流动的洋流。它一动不动的河岸代表了真实的空间。落入上游水中的叶子会被水流冲走。这是理解亚空间的一个有用的比喻，尽管亚空间的运动比线性流复杂得多。亚空间以无休止的不可预测和复杂的模式移动。,人们常将亚空间比作一片浩瀚的能量海洋，其中潮流与暗流永不停息。它与现实空间相互平行，正因这种联系，具有亚空间航行能力的舰船才能进入其中，随能量流航行一段时间，再从远离出发点的位置返回现实空间。解释亚空间跃迁时，另一个常见比喻是急流：静止的两岸代表现实空间，一片在上游落水的叶子，会随水流迅速漂往下游。这个比喻有助于理解航行原理，但亚空间远比单向河流复杂，其流动路线曲折多变，永远无法完全预测。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0846-B0015,846,亚空间是银河系大多数种族已故灵魂的最终目的地。这些灵魂将在扭曲的混沌漩涡中无休止地旋转，许多灵魂被捕食的恶魔吞噬。方舟灵族使用魂石来保护他们逝去的灵魂，使其不会成为色孽的玩物。灵族丑角依靠笑神的保护。帝国相信，一旦一个有道德的灵魂进入亚空间，帝皇就会保护它。,对银河中大多数种族而言，亚空间是死者灵魂的最终归宿。灵魂在混乱涡流中无休止地翻卷，许多会被猎食的恶魔吞噬。方舟灵族用魂石保护死者，使其免于沦为色孽的玩物；丑角则依靠笑神庇护。帝国信徒相信，善良虔诚的灵魂进入亚空间后，会受到帝皇保护。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0846-B0017,846,亚空间诞生于银河系中每一个精神上协调的有情种族的思想、梦想和情感。每一种情感和行为都会反馈给亚空间，并被反射回来，创造出自己的实体。如果银河系的种族以某种方式被切断与亚空间的联系，它的邪恶实体最终会削弱并饿死。,亚空间诞生于银河各灵能感应种族的思想、梦境与情感。物质宇宙中的每一种情绪与行为都会滋养它，又被它映照回来，形成属于亚空间的现实。假如银河诸族以某种方式彻底切断与亚空间的联系，其中的邪恶存在最终便会衰弱，因失去滋养而饿死。,psychically attuned 指有灵能感应的种族，不是精神协调。reality 译现实，不是具体实体生物。
A0846-B0026,846,The Formless Wastes 无形废地,The Formless Wastes 无形荒原,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0846-B0031,846,亚空间是人类生存的重要因素。太空舰船能够在几天内航行数千光年，穿越亚空间。通过这种脆弱的手段，人类被束缚在一个统一的帝国中。帝皇的意志可能很强大，但他的影响力很广只是因为他的舰队可能会穿越亚空间。,亚空间对人类的生存至关重要。舰船穿行其中，便能在数天内跨越数千光年。人类正是靠这种脆弱的交通方式，维系着统一帝国。帝皇的意志固然强大，但其权柄之所以能延伸至遥远星海，仍有赖于舰队穿越亚空间。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0846-B0033,846,宇宙飞船可以通过使用亚空间驱动器进入亚空间。这是太空舰船有效地以超光速飞行的手段。这是因为亚空间是一个纯能量的领域，太空舰船可以在航道之间导航，就像在海洋中一样。帝国为此目的使用了人类的一个亚种—导航者。时间在亚空间中的进展也比在物质世界中慢得多，甚至快得多，导致时间停滞、加速、逆转和其他混乱的物理学违反。虽然这种解决方案是有效的，但它远非完美。,舰船通过亚空间引擎进入亚空间，从而实现实际效果上的超光速航行。在这片纯能量领域中，舰船可像海船穿行洋流一样，在不同能量流之间航行。帝国为此依靠一个人类亚种：导航员。然而，亚空间中的时间流速可能远慢于物质宇宙，也可能远快于它，甚至出现时间停滞、加速、倒流等违反物理法则的混乱现象。这种航行方式虽然有效，却绝不完善。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0846-B0035,846,长途航行需要几个月甚至几年的时间，由于亚空间的性质，时间本身是不可预测的。,远程旅途仍可能耗费数月乃至数年，而且亚空间本身的特性让航程长短无法可靠预测。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0846-B0038,846,亚空间是一种极不稳定的形式。有时，干扰会将亚空间地区变成难以理解的破坏性狂怒的狂暴风暴。这些风暴可能持续数天、数月甚至数个世纪。更具破坏性的是亚空间裂隙，这是现实中将亚空间与物质世界联系起来的眼泪。这些裂隙非常危险，会让混沌领域蔓延到物质世界。著名的亚空间裂隙包括恐惧之眼、大漩涡和大裂隙。,亚空间极不稳定，扰动有时会化作狂暴风暴，带来难以想象的毁灭。这些风暴可能持续数日、数月，甚至数百年。更具破坏力的是亚空间裂隙——现实本身的裂口，将亚空间与物质宇宙直接连通。它们极其危险，能让混沌领域涌入现实。著名的裂隙包括恐惧之眼、大漩涡与大裂隙。,tears 在此是裂口，原译眼泪误取同形词。
A0846-B0043,846,亚空间虽然对物质世界的生物充满敌意，但它是自己生命形式的家园。这些通常是贪婪的实体，被现实空间中凡人的灵能释放所吸引—这些生物包括吸血鬼、灵能毒蜂、星界幽灵、星界猎犬、奴役者，以及最可怕、数量最多的混沌恶魔。,亚空间对物质宇宙的生物极端危险，却也孕育着自身的生命。这些存在往往贪婪凶暴，会被现实空间中凡人散发的灵能吸引，其中包括吸血鬼、灵能毒蜂、星界幽灵、星界猎犬、奴役者，以及最可怕、数量也最庞大的混沌恶魔。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0846-B0047,846,亚空间也是混沌四神的领地：恐虐、色孽、奸奇和纳垢。尽管亚空间和混沌诸神由相同的能量组成，几乎是同义的，每位神明都有一种形态，这种形态体现了他们的个性，并且居于他们各自领域的核心之处。,亚空间也是恐虐、色孽、奸奇和纳垢四位混沌神的领域。它们与亚空间由同样的能量构成，几乎不可分割，但每位神仍有体现自身性情的形态，居于各自领土的核心。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0847-B0002,847,纳垢花园是亚空间内的一个领域，属于纳垢的统治，纳垢是瘟疫之主和混沌诸神之一。,纳垢花园是亚空间中的一片领域，由混沌诸神之一、瘟疫之主纳垢统治。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0847-B0007,847,这个不健康的领域是所有可以想象的瘟疫和疾病的家园，充满了腐烂的恶臭。这个“花园”不是一片贫瘠的荒地，而是一个充满死亡和瘟疫的可怕天堂。一大片嗡嗡作响的黑色的毛茸茸的苍蝇散落在天空中，扭曲的腐烂树枝与紧紧抓住的藤蔓缠绕在发霉的地面上，在昆虫肆虐的树叶下。瘤木的树枝上栖息着等待重生的休眠恶魔。被玷污的真菌 — 无论是普通的还是非同寻常的 — 都会冲破森林地面上铺满的树叶覆盖物，喷出污秽的孢子云。泥泞的河流滑过臃肿的风景。纳垢的苦乐枯萎住所，由腐烂的木材和破碎的墙壁组成，位于花园的中心 — 破旧而古老，但地基永远坚固。正是在这些翻滚的墙壁内，纳垢在他的大锅旁辛勤劳作，这个容器足够大，可以容纳银河系所有世界的海洋。,这里滋生着一切可以想象的瘟疫与病痛，腐烂的恶臭充斥各处。这座“花园”并非贫瘠荒原，而是死亡与疫病的诡异乐园。黑色、毛茸茸的蝇群密布天空，嗡鸣不绝；虫蛀的树冠下，腐朽扭曲的枝干与攫人的藤蔓纠缠，遮住发霉的地面。瘤木枝头栖息着沉睡的恶魔，等待重生。平凡或怪异的污秽菌类钻破林地的落叶腐殖层，喷出恶臭的孢子云；浑浊河流蜿蜒穿过肿胀的地景。花园中央坐落着纳垢的“苦乐枯萎之屋”，由腐木与残墙构成，古老破败，地基却永远稳固。纳垢就在这些摇摇欲坠的墙壁间，守着巨釜忙碌；釜身之大，足以容纳银河所有世界的海洋。,tumbling walls 指破败欲坠的墙壁，非墙体正在翻滚。宅邸在原文名称带 Blighted，与下方列表统一沿原稿苦乐枯萎之屋。
A0847-B0009,847,当纳垢的力量爆发时，花园盛开，侵占了其他混沌诸神的领地。纳垢的敌人会反击，瘟疫携带者会拿起武器保卫它。虽然花园会再次退缩，但它仍然会深深地汲取那些在战争中倒下的人的精华，并将处于孕育和平的状态，直到它准备再次绽放。,纳垢力量增长时，花园便蓬勃生长，侵入其他混沌神的领土。敌人随之反击，瘟疫使则拿起武器保卫花园。虽然花园终将再次退缩，它已充分吸收那些战死者的精华，随后进入静静孕育的阶段，等待下一次盛放。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0847-B0011,847,纳垢腐烂王国的首席园丁是园丁斯利姆克斯，里面有纳垢毒枝等贪婪的生物。,这片腐败领域的首席园丁是园艺师史莱姆克斯，花园中还栖息着肮脏瘤口树等贪婪生物。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0847-B0013,847,在瘟疫战争期间，帝皇直接通过罗伯特·基里曼出现，对纳垢花园造成了严重打击，破坏了其中的一部分。,瘟疫战争期间，帝皇借罗保特·基里曼直接显现，重击纳垢花园，使其中一部分遭到破坏。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0847-B0016,847,苦乐枯萎之屋 — Nurgle的私人宅邸和巢穴。,苦乐枯萎之屋——纳垢的私人宅邸与巢穴。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0847-B0018,847,死亡之床 — 纳垢经常造访，这片淤泥之海既能困住入侵者，又能约束他们以备将来使用。如果有人告诉纳垢一个故事，让他在经过时开怀大笑，他们可能会被从淤泥中挖出来，并得到奖励而被用作他最新瘟疫的容器。,死亡之床——纳垢常来巡视的一片淤泥之海。它将入侵者困住，留待日后使用。如果有人在纳垢经过时讲出让他开怀的故事，便可能被从淤泥中捞起，获得一项“奖赏”：成为某种最新瘟疫的容器。,原英文 tell a tell 疑为 tell a tale；按讲故事译。奖赏是纳垢视角的黑色幽默：被选作疾病容器，而非治好入侵者。
A0847-B0022,847,死铃百合领域 - 每当凡人世界中有人死于纳垢的疾病时，死铃百合领域内的一朵苍白的花就会发出一声微小的蜂鸣声。,死铃百合花田——凡人世界每有一人死于纳垢的疾病，花田中便有一朵苍白的花发出细微的铃声。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0847-B0024,847,瑟什·博尔格空中花园 - 为纪念大不净者瑟什·博尔格而建，他用自己的肠子将许多欧克受害者挂在一片树林里。,瑟什·博尔格悬挂花园——为纪念大不净者瑟什·博尔格而建；他曾用自己的肠子，将大量被害欧克吊在一片树丛间。,标题写 Thus’Bolg，正文写 Thush’Bolg，保留英语异拼，中文沿同一人物瑟什·博尔格。Hanging Gardens 与吊挂尸体的叙述关联，暂修悬挂花园，原空中花园。
A0847-B0026,847,沸腾溪谷 — 泰丰斯在这里阻止了恐虐恶魔的入侵，引导纳垢兽和瘟疫蜂群的最后协同攻击。,沸腾溪谷——提丰曾在此率纳垢野兽与瘟疫蜂兵发动最后一轮协同攻击，阻止恐虐恶魔入侵。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0848-B0004,848,这座城市超越了正常的时间和空间，在泰拉围城的最后阶段首次出现，这是混沌诸神对荷鲁斯觉醒到真正力量的致敬的一部分。这座城市出现在泰拉和复仇之魂号的疯狂之中。荷鲁斯将这座城市称为他的新领域，并反映了他战后对泰拉和人类的计划。泰拉和复仇之魂号上的人最终会发现自己在城市中，因为它与现实空间重叠。就连皇宫内部也成为了这座必然之城看似无边无际的一部分。,这座城市超越通常的时空，在泰拉围城战的最后阶段首次显现，是混沌诸神庆贺荷鲁斯真正力量觉醒的一部分。当疯狂席卷泰拉与复仇之魂号时，它也随之出现。荷鲁斯将其称为自己的新领地，城市映照出他对战后泰拉与人类的规划。随着它与现实空间重叠，泰拉及复仇之魂号各处的人都可能突然发现自己置身城中。就连帝皇皇宫内廷，也成了必然之城那仿佛没有尽头的疆域的一部分。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0848-B0007,848,在战锤幻想的传说中，必然之城是混沌荒原中的一个地方，许多被诅咒者和堕落的灵魂突然发现了自己。,在《战锤幻想》的世界观设定中，混沌荒原里也有一处名为必然之城的地方。许多遭诅咒或受腐化的灵魂，会突然发现自己身处其中。,这一节是另一个作品世界观中的同名地点旁注，不据此断言《战锤幻想》与40K两处城市就是同一实体。
A0849-B0007,849,这个领域的起源可以追溯到被称为古圣的古代种族，他们可以通过这个隧道前往无数遥远的世界，而不会遭受亚空间潮汐的风险。当他们成为第一个一步穿过浩瀚恒星鸿沟并学会操纵替代维度的种族时，它就成为了这个物种的工具。这很快使他们掌握了网道门户的使用。后来，它被用作古圣在天堂之战中战胜惧亡者的一种方式，导致这个种族在几个世纪的时间里变成了一个小麻烦。当星神站在现在金属化的死灵军队一边参战时，这种情况最终发生了变化。在天堂之战的最后几天，一个叫燃烧者尼亚德拉萨的星神早就想把他的超自然火焰带进网道。燃烧者教会了死灵如何通过墓石之门刺穿太空之外的空间边界，于是他们将古圣最强大的武器转向了他们。,网道起源于被称为古圣的古老种族。他们利用这些通道抵达无数遥远的世界，避开亚空间潮汐的危险。古圣学会操纵其他维度，成为第一个能够一步跨越浩瀚星际鸿沟的种族，网道也由此成为他们的工具。他们很快便掌握了网道门户的运用。在天堂之战中，古圣凭借网道取得了对惧亡者的机动优势，短短几个世纪便使对手沦为不足为虑的小患。直到星神加入如今已化作金属之躯的太空死灵一方，局势才终于改变。天堂之战临近尾声时，被称为“燃烧者”的星神尼亚德拉萨早已渴望将自己的超自然烈焰带入网道。它教会太空死灵使用墓石之门，刺穿常规空间之外的边界。古圣最强大的利器就这样被反过来用于对付他们。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0849-B0009,849,随着时间的推移，网道的知识将传递给灵族，在那里，用于制造网道的技术曾经由古圣传授给他们。这些位于亚空间之间的秘密、无形的通道被认为是古老的建筑，甚至比灵族所知道的还要古老。古灵族发现，可以在它的隧道内移动。从古圣教给他们的许多亚空间秘密中，灵族制造了一个泛银河系的航行隧道网络。正是古灵族掌握了最初的网道网络。在他们帝国的鼎盛时期，他们用它安全而快速地航行数千光年，并连接了他们所有的世界。因此，他们的太空飞船能够在不进入现实空间的情况下从星系的一端移动到另一端。到M18时，灵族帝国将科摩罗确立为网道内的主要节点港口。在这个时代，众所周知，恣纵教派的领导人已经将他们的权力基础重新部署到了网道，在那里他们可以指挥整个子领域。这种行为模式在M25到M30之间持续存在。,后来，古圣将建造网道的技术传授给灵族，网道的知识也随之传承下来。这些处于亚空间间隙中的隐秘无形通道，被认为是极其古老的构造，其历史甚至早于灵族所能知晓的年代。古代灵族发现，可以沿网道的脉络穿行。他们运用古圣传授的诸多亚空间奥秘，建立了一个遍布银河、可供通行的隧道网络，并掌握了原有的网道。在灵族帝国鼎盛时期，他们借此安全而迅速地跨越数千光年，将所有世界连接起来；飞船无需进入现实空间，就能从银河一端驶向另一端。到第 18 个千年，科摩罗已成为网道内的主要节点港口。当时，恣纵教派的领袖已开始将权力根基迁入网道，在那里掌控整个子领域。这一趋势在第 25 至第 30 个千年间仍在延续。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
